LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-4.10245,53.34005,BTS-VIIa/40/80/1995,0,10.87,16.45,34.209,3000,,0.59,0,0,0,0
-3.8825,53.3834,BTS-VIIa/38/81/1995,0,14,16.732,34.212,5000,,0.75,0,0,0,0
-3.56755,53.4159,BTS-VIIa/36/83/1995,0,11.84,16.794,34.136,12083.0459,,0.77,0,0,0,0
-3.56585,53.4167,BTS-VIIa/36/159/1996,0,11.84,16.794,34.136,12083.0459,,0.77,0,0,0,0
-3.86085,53.3841,BTS-VIIa/38/158/1996,0,13.57,16.755,34.212,5000,,0.79,0,0,0,0
-3.78585,53.3641,BTS-VIIa/37/156/1996,0,14.34,16.669,34.214,4000,,0.74,0,0,0,0
-4.1992,53.3366,BTS-VIIa/40/157/1996,0,9.19,16.525,34.148,3000,,0.53,0,0,0,0
-4.7334,53.8275,BTS-VIIa/401/91/1996,0,69.92,14.652,34.146,25317.97852,,1.01,4,0,0,0
-4.1866,53.8192,BTS-VIIa/423/139/1996,0,46.03,15.648,34.07,38832.97656,,1.15,0,0,0,0
-3.235,53.7784,BTS-VIIa/25/96/1996,0,12.4,16.741,33.806,12000,,0.74,0,0,0,0
-5.1275,53.86255,BTS-VIIa/405/124/1996,64.49907273,66.11,14.401,34.18,29732.13672,,0.61,0,0,0,0
-3.97335,53.8091,BTS-VIIa/53/140/1996,0,39.58,15.826,34.032,49244.28906,,0.99,2,0,0,0
-3.5341,53.81415,BTS-VIIa/43/143/1996,0,20.74,16.407,33.92,33000,,0.78,0,0,0,0
-6.11085,53.8709,BTS-VIIa/206/128/1996,51.46917709,27.95,14.026,34.196,10049.875,,0.23,0,0,0,0
-3.3242,53.8883,BTS-VIIa/23/94/1996,0,11.92,16.551,33.646,18000,,0.89,0,0,0,0
-3.82085,53.96415,BTS-VIIa/42/141/1996,0,33.44,15.568,34.027,39924.92969,,0.75,0,0,0,0
-3.4384,53.89005,BTS-VIIa/24/95/1996,0,16.58,16.568,33.776,24207.4375,,0.82,0,0,0,0
-3.62,53.915,BTS-VIIa/41/142/1996,0,27.76,16.059,33.969,30000,,0.73,0,0,0,0
